date,team_a,team_b,home_flag,pace_diff,off_rating_diff,def_rating_diff,recent_win_pct_diff,rest_days_diff,team_a_win,market_odds_team_a,market_odds_team_b,closing_odds_team_a,closing_odds_team_b
2024-10-22,Toronto Raptors,Denver Nuggets,1,-2.302398734501651,-2.6300814872323315,0.854970605240112,0.13846347258159702,0,1,-226,189,-272,211
2024-10-22,Miami Heat,Dallas Mavericks,1,6.291213891917735,-5.3073759921393275,-6.790320536078681,-0.12136726708869577,-2,1,140,-171,180,-232
2024-10-22,Miami Heat,Washington Wizards,1,6.805539628390051,-9.466062803720504,0.7348104646378459,-0.3577335996571104,-1,0,196,-244,207,-275
2024-10-22,Atlanta Hawks,Utah Jazz,0,6.987315679042098,2.1879172337133355,8.049924350547087,0.10538748569629997,3,1,118,-149,124,-153
2024-10-22,Denver Nuggets,Phoenix Suns,1,6.27276496105091,-3.6599015610517682,-5.378176664439422,-0.10806768743252049,-1,1,130,-154,-116,-103
2024-10-22,Minnesota Timberwolves,LA Clippers,1,2.3196035986189116,-5.840060301807853,-2.9112800646870056,-0.029379386806222985,-1,1,139,-176,164,-204
2024-10-23,New Orleans Pelicans,Atlanta Hawks,0,-0.8162811745913956,-1.7746791923247685,2.339925481510164,0.030136238017523853,-2,1,-158,131,-123,-101
2024-10-23,Indiana Pacers,New Orleans Pelicans,0,-15.413375900303507,0.6307384159618437,1.1182350050012388,-0.061267170921760705,0,0,126,-158,129,-158
2024-10-23,Chicago Bulls,Indiana Pacers,0,-1.8938086081042513,-10.535278667320384,-6.571238949479451,-0.15794329201669044,1,0,3076,-4900,2076,-4900
2024-10-23,Cleveland Cavaliers,Detroit Pistons,0,9.705666601090826,-4.014940930565075,-6.323444138033537,-0.12560698199629444,-2,0,237,-308,339,-494
2024-10-23,Milwaukee Bucks,Los Angeles Lakers,0,-0.43635937027443106,-4.29327037575591,-2.013863535048955,-0.05548506570185152,0,1,251,-334,186,-239
2024-10-23,Boston Celtics,Atlanta Hawks,1,12.644834371192104,-4.499052797010847,-6.132134525565505,-0.2611805509605907,-1,1,231,-308,210,-279
2024-10-23,Memphis Grizzlies,Denver Nuggets,1,-3.1693929201752127,0.3910079151153667,8.311419075325873,0.03588260124644371,-1,1,-317,253,-297,239
